AAS 101,CASAA514,T 12:30 pm-3:15 pm
AAS 101,CASHI584,T 12:30 pm-3:15 pm
AAS 102,CASAA234,TR 9:30 am-10:45 am
AAS 102,CASAA502,F 11:15 am-2:00 pm
AAS 102,CASEN588,F 11:15 am-2:00 pm
BAB 121,COMFT526,M 6:30 pm-10:15 pm
BAB 121,COMFT526,T 6:30 pm-10:15 pm
BAB 121,COMFT526,W 6:30 pm-10:15 pm
BAB 121,COMFT589,M 2:30 pm-6:15 pm
BAB 121,COMFT593,T 9:30 am-1:15 pm
BAB 121,COMFT593,W 2:30 pm-6:15 pm
BAB 121,COMFT593,T 2:30 pm-6:15 pm
BAB 121,COMFT593,W 10:10 am-2:05 pm
BAB 121,COMFT595,R 2:30 pm-6:15 pm
BAB 121,COMFT595,M 9:30 am-1:15 pm
BAB 121,COMFT597,R 9:30 am-1:15 pm
BAB 140,CFAMP602,MW 6:30 pm-8:30 pm
BAB 140,CFAMU091,TR 6:30 pm-9:00 pm
BAB 140,CFAMU092,MW 6:30 pm-8:30 pm
BAB 140,CFAMU185,TR 6:30 pm-9:00 pm
BAB 140,CFAMU191,TR 6:30 pm-9:00 pm
BAB 140,CFAMU192,MW 6:30 pm-8:30 pm
BAB 140,OTPAS101,W 4:30 pm-6:15 pm
BAB 141,OTPAS110,W 3:35 pm-4:25 pm
BAB 141,OTPAS212,W 2:30 pm-3:20 pm
BAB 141,OTPAS310,T 6:30 pm-9:15 pm
BAB 141,OTPAS410,M 6:30 pm-9:15 pm
BAB 141,OTPMS103,W 5:30 am-7:00 am
BAB 141,OTPMS201,T 11:00 am-12:15 pm
BAB 141,OTPMS203,W 5:30 am-7:00 am
BAB 141,OTPMS303,W 5:30 am-7:00 am
BAB 141,OTPMS401,TR 9:00 am-10:45 am
BAB 141,OTPMS403,W 5:30 am-7:00 am
BAB 148,CFAMU094,MW 6:30 pm-8:00 pm
BAB 148,CFAMU095,F 4:30 pm-6:15 pm
BAB 148,CFAMU095,F 6:30 pm-8:15 pm
BAB 148,CFAMU194,MW 6:30 pm-8:00 pm
BAB 148,CFAMU195,F 4:30 pm-6:15 pm
BAB 148,CFAMU195,F 6:30 pm-8:15 pm
BAKST,GMSAN722,M 3:00 pm-4:20 pm
BAKST,GMSBI751,M 12:00 pm-1:50 pm
BAKST,GMSBI751,T 2:00 pm-3:15 pm
BRB 113,CASBI579,W 12:20 pm-2:05 pm
BRB 121,CASBI203,W 8:00 am-8:50 am
BRB 121,CASBI309,R 3:35 pm-4:25 pm
BRB 121,CASBI552,R 5:00 pm-5:50 pm
BRB 121,CASBI598,TR 9:00 am-10:45 am
BRB 121,CASLS211,MWF 11:15 am-12:05 pm
BRB 121,CASLY112,MWF 12:20 pm-1:10 pm
BRB 121,CASMA113,W 2:30 pm-3:20 pm
BRB 121,CASMA115,T 5:00 pm-5:50 pm
BRB 121,CASMA226,T 3:35 pm-4:25 pm
BRB 121,CASMA242,MWF 9:05 am-9:55 am
BRB 121,CASMA575,F 2:30 pm-3:20 pm
BRB 121,CASMA582,M 2:30 pm-3:20 pm
BRB 121,CASMA582,M 3:35 pm-4:25 pm
BRB 121,CASNE598,TR 9:00 am-10:45 am
BRB 121,CASWR120,MWF 10:10 am-11:00 am
BRB 121,CASWR120,MWF 1:25 pm-2:15 pm
BRB 121,CASWR120,TR 11:00 am-12:15 pm
BRB 121,COMCM443,R 6:30 pm-9:15 pm
BRB 121,GRSBI753,TR 12:30 pm-1:45 pm
BRB 121,GRSMA685,TR 2:00 pm-3:15 pm
BRB 121,METCM708,W 6:00 pm-8:45 pm
BRB 121,METUA703,T 6:00 pm-8:45 pm
BRB 122,CASAN211,TR 12:30 pm-1:45 pm
BRB 122,CASBI225,TR 2:00 pm-3:15 pm
BRB 122,CASBI443,MWF 11:15 am-12:05 pm
BRB 122,CASBI552,W 10:10 am-11:00 am
BRB 122,CASBI552,W 3:35 pm-4:25 pm
BRB 122,CASCH373,M 10:10 am-11:00 am
BRB 122,CASEC102,T 11:15 am-12:05 pm
BRB 122,CASEC203,R 11:15 am-12:05 pm
BRB 122,CASEE443,MWF 11:15 am-12:05 pm
BRB 122,CASHI237,TR 9:30 am-10:45 am
BRB 122,CASHI271,T 3:35 pm-4:25 pm
BRB 122,CASMA578,W 9:05 am-9:55 am
BRB 122,CASPH100,R 3:35 pm-4:25 pm
BRB 122,CASPY106,F 12:20 pm-1:10 pm
BRB 122,CASPY106,F 1:25 pm-2:15 pm
BRB 122,COMCO101,F 9:05 am-9:55 am
BRB 122,ENGBE521,MW 12:20 pm-2:05 pm
BRB 122,ENGEK100,F 3:35 pm-4:25 pm
BRB 122,ENGME521,MW 12:20 pm-2:05 pm
BRB 122,GRSBI643,MWF 11:15 am-12:05 pm
BRB 122,GRSEE643,MWF 11:15 am-12:05 pm
BRB 122,GRSMA779,MWF 2:30 pm-3:20 pm
BRB 122,METAD648,W 6:00 pm-8:45 pm
BRB 122,METAD737,T 6:00 pm-8:45 pm
BRB 122,METCH373,M 10:10 am-11:00 am
BRB 122,METCJ351,R 6:00 pm-8:45 pm
BSC B07,CASAN595,W 2:30 pm-5:15 pm
CAS 114A,CASCC101,TR 8:00 am-9:15 am
CAS 114A,CASCC101,TR 12:30 pm-1:45 pm
CAS 114A,CASCC101,TR 2:00 pm-3:15 pm
CAS 114A,CASCC101,TR 5:00 pm-6:15 pm
CAS 114A,CASCC101,MWF 9:05 am-9:55 am
CAS 114A,CASCC101,MWF 10:10 am-11:00 am
CAS 114A,CASCC101,MWF 12:20 pm-1:10 pm
CAS 114A,CASCC101,MWF 1:25 pm-2:15 pm
CAS 114A,CASCC101,MWF 2:30 pm-3:20 pm
CAS 114A,CASCC221,TR 11:00 am-12:15 pm
CAS 114A,CASCC221,TR 3:30 pm-4:45 pm
CAS 114A,CASCC221,MWF 11:15 am-12:05 pm
CAS 114A,SSWCP803,M 6:30 pm-8:15 pm
CAS 114A,SSWHB735,W 6:30 pm-9:15 pm
CAS 114B,CASCC101,TR 11:00 am-12:15 pm
CAS 114B,CASCC101,TR 12:30 pm-1:45 pm
CAS 114B,CASCC101,MWF 11:15 am-12:05 pm
CAS 114B,CASCC101,MWF 1:25 pm-2:15 pm
CAS 114B,CASCC111,F 10:10 am-11:00 am
CAS 114B,CASCC221,TR 2:00 pm-3:15 pm
CAS 114B,CASCC221,MWF 12:20 pm-1:10 pm
CAS 114B,CASCC320,W 2:30 pm-5:15 pm
CAS 114B,CASEN202,W 8:00 am-10:45 am
CAS 114B,CASEN220,TR 9:30 am-10:45 am
CAS 114B,CASIR271,F 9:05 am-9:55 am
CAS 114B,CASPO171,F 9:05 am-9:55 am
CAS 114B,METUA613,M 6:00 pm-8:45 pm
CAS 114B,STHTO704,T 5:00 pm-5:50 pm
CAS 116,CASCH101,R 3:35 pm-4:25 pm
CAS 116,CASCH101,F 2:30 pm-3:20 pm
CAS 116,CASCH352,M 10:10 am-11:00 am
CAS 116,CASCH352,M 4:40 pm-5:30 pm
CAS 116,CASCS237,F 9:05 am-9:55 am
CAS 116,CASCS237,F 8:00 am-8:50 am
CAS 116,CASEC102,F 10:10 am-11:00 am
CAS 116,CASEC521,M 6:30 pm-9:15 pm
CAS 116,CASHI175,TR 12:30 pm-1:45 pm
CAS 116,CASHI207,W 9:05 am-9:55 am
CAS 116,CASLJ111,MWF 11:15 am-12:05 pm
CAS 116,CASMA115,F 12:20 pm-1:10 pm
CAS 116,CASMA115,W 2:30 pm-3:20 pm
CAS 116,CASMA121,T 5:00 pm-5:50 pm
CAS 116,CASMA121,T 8:00 am-8:50 am
CAS 116,CASMA226,W 1:25 pm-2:15 pm
CAS 116,CASMA541,TR 9:30 am-10:45 am
CAS 116,CASMA575,M 12:20 pm-1:10 pm
CAS 116,CASMA575,M 1:25 pm-2:15 pm
CAS 116,CASPH100,W 12:20 pm-1:10 pm
CAS 116,CASPH360,TR 11:00 am-12:15 pm
CAS 116,CASSO303,TR 2:00 pm-3:15 pm
CAS 116,GRSCH801,M 2:30 pm-4:15 pm
CAS 116,GRSPH633,TR 11:00 am-12:15 pm
CAS 116,HUBFY101,T 3:35 pm-4:25 pm
CAS 116,METAD617,R 6:00 pm-8:45 pm
CAS 116,METAR550,T 6:00 pm-8:45 pm
CAS 119,CASHI379,TR 11:00 am-12:15 pm
CAS 201,CASCH101,F 12:20 pm-1:10 pm
CAS 201,CASCH101,F 2:30 pm-3:20 pm
CAS 201,CASCH131,T 3:35 pm-4:25 pm
CAS 201,CASCH131,W 8:00 am-8:50 am
CAS 201,CASCH203,M 9:05 am-9:55 am
CAS 201,CASCH203,M 10:10 am-11:00 am
CAS 201,CASCL321,TR 9:30 am-10:45 am
CAS 201,CASHI238,TR 2:00 pm-3:15 pm
CAS 201,CASIR271,F 9:05 am-9:55 am
CAS 201,CASIR390,MW 2:30 pm-3:45 pm
CAS 201,CASJS121,MWF 11:15 am-12:05 pm
CAS 201,CASMA124,R 12:30 pm-1:45 pm
CAS 201,CASMA225,M 12:20 pm-1:10 pm
CAS 201,CASMA293,M 1:25 pm-2:15 pm
CAS 201,CASPH150,W 12:20 pm-1:10 pm
CAS 201,CASPH150,F 10:10 am-11:00 am
CAS 201,CASPO171,F 9:05 am-9:55 am
CAS 201,CASPO329,MW 2:30 pm-3:45 pm
CAS 201,CASPS222,W 9:05 am-9:55 am
